time,Tom Dumoulin, Nairo Quintana, Vincenzo Nibali, Thibaut Pinot, Ilnur Zakarin
Stage 1, 0, 143, 167, 160, 257
Stage 2, 0, 167, 220, 205, 274
Stage 3, 40, 161, 220, 201, 264
Stage 4, 0, 31, 72, 158, 160
Stage 5, 0, 31, 72, 158, 160
Stage 6, 0, 31, 72, 96, 118
Stage 7, 38, 0, 43, 53, 81
Stage 8, 53, 0, 39, 43, 75
Stage 9, 0, 31, 40, 77, 116
