name,pic,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
Tom Dumoulin, tomdumoulin.png, 0, 0, 40, 0, 0, 0, 38, 53, 0
Nairo Quintana, tomdumoulin.png, 143, 167, 161, 31, 31, 31, 0, 0, 31
Vincenzo Nibali, tomdumoulin.png, 167, 220, 220, 72, 72, 72, 43, 39, 40
Thibaut Pinot, tomdumoulin.png, 160, 205, 201, 158, 158, 96, 53, 43, 77
Ilnur Zakarin, tomdumoulin.png, 257, 274, 264, 160, 160, 118, 81, 75, 116
